time accel_x accel_y accel_z gyro_x gyro_y gyro_z
6256588 +1.004395 -0.006348 +0.024414 -3.963415 +0.792683 +2.012195
6256590 +1.003418 -0.001953 +0.020996 -3.841464 +0.792683 +2.134146
6256592 +1.008789 -0.002441 +0.026855 -3.780488 +0.914634 +2.134146
6256594 +1.008301 +0.002441 +0.030762 -3.841464 +0.853659 +2.012195
6256596 +1.005371 -0.008301 +0.020508 -3.719512 +0.792683 +2.134146
6256598 +1.009766 -0.002441 +0.025879 -3.902439 +0.731707 +2.012195
6256600 +1.010742 +0.005371 +0.026855 -3.780488 +0.853659 +2.012195
6256602 +1.006348 -0.000488 +0.031738 -3.841464 +0.914634 +2.073171
6256604 +1.013672 -0.003906 +0.028320 -3.902439 +0.731707 +2.134146
6256606 +1.007324 +0.001953 +0.026855 -3.963415 +0.975610 +2.012195
6256608 +1.007812 -0.002441 +0.021973 -3.902439 +0.914634 +2.012195
6256610 +1.010742 +0.003906 +0.023438 -3.780488 +0.792683 +2.012195
6256612 +1.001953 +0.001953 +0.019043 -4.024390 +0.853659 +2.134146
6256614 +1.006348 +0.005371 +0.031250 -3.902439 +0.975610 +2.134146
6256616 +1.004883 +0.000977 +0.029785 -3.841464 +0.731707 +1.951220
6256618 +1.011230 +0.003906 +0.020508 -3.902439 +0.975610 +2.317073
6256620 +1.003418 +0.003418 +0.031738 -3.902439 +0.792683 +1.951220
6256622 +1.005859 +0.003906 +0.026855 -3.902439 +0.914634 +2.195122
6256624 +1.006836 +0.001953 +0.022949 -4.085366 +0.914634 +2.012195
6256626 +1.010254 +0.001953 +0.025879 -3.780488 +0.609756 +1.951220
6256628 +1.010742 -0.004883 +0.033203 -3.963415 +0.792683 +2.012195
6256630 +1.006836 +0.000000 +0.027832 -3.841464 +0.914634 +2.012195
6256632 +1.008301 -0.000977 +0.028320 -3.963415 +0.853659 +2.073171
6256634 +1.010254 +0.000488 +0.025391 -3.963415 +0.914634 +2.012195
6256636 +1.010254 -0.002441 +0.036133 -3.902439 +0.914634 +2.012195
6256638 +1.005371 +0.003418 +0.040039 -3.841464 +0.670732 +2.012195
6256640 +1.007324 -0.001465 +0.029297 -3.780488 +0.853659 +2.256098
6256642 +1.009277 -0.003418 +0.023438 -4.024390 +0.975610 +2.134146
6256644 +1.002930 -0.000977 +0.022949 -3.902439 +0.792683 +2.012195
6256646 +1.006836 +0.000488 +0.027832 -3.841464 +0.914634 +2.317073
6256648 +1.004395 -0.005859 +0.025879 -3.902439 +1.036585 +2.012195
6256650 +1.005859 +0.000977 +0.037598 -3.963415 +0.914634 +2.195122
6256652 +1.008301 +0.002441 +0.036621 -3.780488 +0.975610 +2.134146
6256654 +1.005859 -0.003418 +0.029785 -3.841464 +0.731707 +2.134146
6256656 +1.003906 -0.004883 +0.029785 -3.841464 +0.609756 +2.073171
6256658 +1.010742 -0.006836 +0.031250 -3.902439 +0.731707 +2.012195
6256660 +1.002441 -0.003418 +0.032715 -3.780488 +0.792683 +1.951220
6256662 +1.007812 -0.003418 +0.023438 -3.841464 +0.792683 +2.073171
6256664 +1.002441 -0.004395 +0.032715 -3.841464 +0.914634 +1.951220
6256666 +1.003418 -0.003906 +0.025879 -3.841464 +0.853659 +2.134146
6256668 +1.006348 +0.003418 +0.033203 -3.658537 +0.914634 +1.951220
6256670 +1.010742 +0.000488 +0.028809 -3.780488 +1.036585 +2.195122
6256672 +1.007812 -0.000488 +0.018555 -3.902439 +0.609756 +2.012195
6256674 +1.007812 -0.006836 +0.028809 -3.719512 +0.975610 +2.195122
6256676 +1.006836 +0.000000 +0.021484 -3.902439 +0.914634 +2.256098
6256678 +1.003418 -0.003418 +0.033691 -3.780488 +0.914634 +2.073171
6256680 +1.004395 -0.001953 +0.016602 -3.719512 +0.792683 +2.256098
