time accel_x accel_y accel_z gyro_x gyro_y gyro_z
8369551 +1.009766 -0.008301 +0.021484 -3.780488 +0.914634 +2.073171
8369553 +1.012695 -0.010254 +0.028809 -3.658537 +1.036585 +2.195122
8369555 +1.006348 -0.008789 +0.033203 -3.841464 +0.853659 +2.073171
8369557 +1.011719 -0.008789 +0.014648 -3.841464 +0.792683 +2.073171
8369559 +1.000488 -0.005371 +0.030762 -3.841464 +0.914634 +2.073171
8369561 +1.000977 -0.004883 +0.028320 -3.719512 +0.853659 +2.256098
8369563 +1.009277 -0.005859 +0.040527 -3.963415 +0.792683 +2.012195
8369565 +1.001465 -0.004395 +0.027344 -3.841464 +0.853659 +2.073171
8369567 +1.006348 -0.006348 +0.028809 -3.902439 +0.792683 +2.073171
8369569 +1.003418 -0.005859 +0.024902 -3.841464 +0.853659 +2.073171
8369571 +1.009766 -0.006836 +0.020996 -3.780488 +1.097561 +2.073171
8369573 +1.008301 -0.006836 +0.024414 -3.841464 +0.975610 +2.073171
8369575 +1.005859 -0.009277 +0.029297 -3.902439 +0.731707 +2.012195
8369577 +1.010742 -0.004883 +0.033203 -3.902439 +0.975610 +2.134146
8369579 +1.007812 -0.008301 +0.029785 -3.841464 +0.914634 +2.073171
8369581 +0.999023 -0.002441 +0.022949 -3.902439 +0.853659 +2.195122
8369583 +1.009277 -0.005371 +0.028320 -3.841464 +0.792683 +2.073171
8369585 +1.011230 -0.010742 +0.025391 -3.719512 +0.853659 +2.378049
8369587 +1.011230 -0.010254 +0.032715 -3.841464 +0.975610 +2.195122
8369589 +1.004883 -0.008301 +0.025391 -3.841464 +1.097561 +1.951220
8369591 +1.005859 -0.011719 +0.029785 -3.780488 +0.853659 +2.073171
8369594 +1.007324 -0.008789 +0.034180 -3.780488 +0.853659 +2.195122
8369596 +1.004883 -0.007812 +0.026855 -3.841464 +0.914634 +2.073171
8369598 +1.009277 -0.005859 +0.029297 -3.719512 +0.853659 +2.256098
8369600 +1.003906 -0.005371 +0.032227 -3.780488 +0.853659 +1.951220
8369602 +1.007324 -0.005371 +0.025879 -4.024390 +0.731707 +2.134146
8369604 +1.002441 -0.008789 +0.027832 -3.719512 +1.036585 +2.256098
8369606 +1.007324 -0.004395 +0.025879 -3.719512 +0.853659 +1.951220
8369608 +1.009766 -0.005371 +0.018555 -3.780488 +0.914634 +2.073171
8369610 +1.005859 -0.003418 +0.029297 -3.963415 +0.914634 +2.073171
8369612 +1.009766 -0.006348 +0.026367 -3.841464 +0.914634 +2.073171
8369614 +1.004883 -0.004883 +0.033691 -3.780488 +0.914634 +2.012195
8369616 +1.006348 -0.007812 +0.023926 -3.902439 +0.975610 +2.134146
8369618 +1.006348 -0.016602 +0.035156 -3.902439 +0.853659 +2.256098
8369620 +1.008301 -0.006348 +0.024414 -3.902439 +0.914634 +2.012195
8369622 +1.009277 -0.005859 +0.022461 -3.841464 +0.792683 +2.134146
8369624 +1.004395 -0.006348 +0.039551 -3.963415 +0.792683 +2.134146
8369626 +1.008301 -0.006836 +0.031250 -3.780488 +0.975610 +2.134146
8369628 +1.007812 -0.006348 +0.026367 -3.658537 +0.975610 +2.134146
8369630 +1.005859 -0.005859 +0.033203 -3.841464 +0.792683 +2.317073
8369632 +1.002441 -0.007812 +0.027344 -3.780488 +0.914634 +2.195122
8369634 +1.005859 -0.004883 +0.029785 -3.780488 +0.914634 +1.829268
8369636 +1.008301 +0.000000 +0.026367 -3.719512 +0.914634 +2.195122
8369638 +1.008789 -0.011230 +0.030762 -3.780488 +0.914634 +2.134146
8369640 +1.005859 -0.007324 +0.031250 -3.780488 +0.792683 +2.134146
8369642 +1.006836 -0.012207 +0.029297 -3.719512 +0.670732 +2.134146
8369644 +1.003906 -0.007812 +0.029297 -3.780488 +1.097561 +2.012195
8369646 +1.008301 -0.008789 +0.032715 -3.780488 +0.853659 +2.012195
8369648 +1.007812 -0.007324 +0.036621 -3.780488 +0.975610 +2.134146
8369650 +1.009766 -0.000977 +0.026855 -3.902439 +0.853659 +2.134146
8369652 +1.003418 -0.001953 +0.028809 -3.841464 +0.914634 +2.073171
8369654 +1.007812 -0.008301 +0.033691 -3.902439 +0.914634 +2.134146
8369656 +1.004395 +0.000488 +0.031738 -3.902439 +0.731707 +2.134146
8369658 +1.006348 -0.004395 +0.023926 -3.902439 +0.853659 +2.134146
8369660 +1.004883 +0.000000 +0.026367 -3.658537 +0.853659 +2.256098
8369662 +1.004395 -0.013184 +0.030273 -3.780488 +0.975610 +2.195122
8369664 +1.001953 -0.010742 +0.036621 -3.780488 +0.792683 +2.134146
8369666 +1.003418 -0.007812 +0.026855 -3.780488 +0.975610 +2.256098
8369668 +1.012695 -0.009277 +0.024902 -3.841464 +0.853659 +1.951220
8369670 +1.006836 -0.004883 +0.027344 -3.719512 +0.853659 +2.134146
8369672 +1.008789 -0.005859 +0.026855 -3.841464 +0.914634 +2.073171
8369674 +1.009277 -0.000488 +0.031738 -3.902439 +0.914634 +2.195122
8369676 +1.005371 -0.006836 +0.020020 -3.780488 +0.914634 +2.012195
8369678 +1.003906 -0.002441 +0.034180 -3.719512 +0.670732 +2.195122
8369680 +1.010254 -0.003906 +0.035645 -3.780488 +0.853659 +2.195122
8369682 +1.002930 -0.000488 +0.029297 -3.719512 +0.914634 +2.256098
8369684 +1.004395 -0.005371 +0.039551 -3.658537 +0.853659 +1.890244
8369686 +1.005371 -0.004395 +0.024902 -3.841464 +0.853659 +2.256098
8369688 +1.006348 -0.009277 +0.025391 -3.841464 +0.975610 +2.134146
8369690 +1.007324 -0.008301 +0.028320 -3.780488 +0.914634 +2.134146
8369692 +1.007812 -0.007812 +0.033203 -3.719512 +0.853659 +2.134146
8369694 +1.004883 -0.008301 +0.032715 -3.780488 +0.853659 +2.012195
8369696 +1.008301 -0.008301 +0.032227 -3.841464 +1.036585 +2.012195
8369698 +1.004883 -0.003418 +0.031250 -3.841464 +0.792683 +2.195122
8369700 +1.005859 -0.002441 +0.030762 -3.902439 +0.914634 +2.012195
8369702 +1.003418 -0.011230 +0.025879 -3.597561 +0.853659 +2.195122
8369704 +1.012207 -0.005859 +0.029785 -3.841464 +0.731707 +2.134146
8369706 +1.014648 -0.009766 +0.023438 -3.780488 +0.975610 +1.829268
8369708 +1.007324 -0.005859 +0.027832 -3.902439 +0.914634 +2.195122
8369710 +1.007324 -0.004883 +0.034180 -3.841464 +0.853659 +2.256098
8369712 +1.005371 -0.004395 +0.026855 -3.780488 +0.731707 +2.256098
8369714 +1.011230 -0.007812 +0.033691 -3.841464 +1.036585 +2.195122
8369716 +1.004883 -0.007812 +0.032227 -3.780488 +1.097561 +2.134146
8369718 +1.007324 -0.010742 +0.030762 -3.963415 +0.670732 +2.012195
8369720 +1.001953 -0.007324 +0.031738 -3.780488 +0.731707 +1.890244
8369722 +0.998535 -0.005859 +0.033691 -3.841464 +1.158537 +2.195122
8369724 +1.009766 -0.004883 +0.025391 -3.780488 +0.731707 +2.012195
8369726 +1.007324 -0.006348 +0.034180 -3.719512 +0.609756 +1.951220
8369728 +1.004395 -0.002930 +0.029297 -3.902439 +1.036585 +2.073171
8369730 +1.010742 -0.010254 +0.034668 -3.902439 +0.975610 +2.012195
8369732 +1.006348 -0.008789 +0.024902 -3.841464 +0.792683 +2.073171
8369734 +1.008789 -0.007324 +0.028320 -3.841464 +0.914634 +2.378049
8369736 +1.010254 -0.014160 +0.032227 -3.780488 +0.914634 +2.073171
8369738 +1.009766 -0.004883 +0.017090 -3.841464 +0.853659 +2.134146
8369740 +1.004883 -0.005371 +0.024902 -3.841464 +0.975610 +2.073171
8369742 +1.010742 -0.005371 +0.035645 -3.719512 +0.792683 +2.195122
8369744 +1.002930 -0.004883 +0.024902 -3.719512 +0.853659 +2.012195
8369746 +1.003906 -0.007812 +0.032715 -3.902439 +1.036585 +2.012195
8369748 +1.002441 -0.007812 +0.026367 -3.780488 +0.853659 +2.317073
8369750 +1.002441 -0.001465 +0.031250 -3.841464 +0.853659 +2.195122
8369752 +1.007812 -0.006348 +0.033203 -3.841464 +1.036585 +2.195122
8369754 +1.011719 -0.009766 +0.026855 -3.841464 +0.975610 +2.073171
8369756 +1.004883 -0.004883 +0.026367 -3.841464 +0.853659 +1.768293
8369758 +1.010254 +0.001465 +0.037598 -3.841464 +0.853659 +2.256098
8369760 +1.010254 -0.007324 +0.030762 -3.902439 +0.914634 +2.073171
8369762 +1.005859 -0.005371 +0.020020 -3.658537 +0.914634 +2.134146
8369764 +1.006836 -0.008301 +0.028320 -3.658537 +0.792683 +2.256098
8369766 +1.004883 -0.009277 +0.028320 -3.658537 +0.792683 +2.256098
8369768 +1.004395 -0.001465 +0.032715 -3.719512 +1.097561 +2.073171
8369770 +0.998535 -0.005859 +0.026855 -3.841464 +0.853659 +2.195122
8369772 +1.008789 -0.008789 +0.031738 -3.719512 +0.853659 +2.073171
8369774 +1.011719 -0.007812 +0.033691 -3.841464 +0.914634 +1.890244
8369776 +1.008789 -0.003418 +0.039551 -4.024390 +0.853659 +2.256098
8369778 +1.003418 -0.007324 +0.032715 -3.780488 +0.853659 +2.073171
8369780 +1.011719 -0.006348 +0.043945 -3.719512 +0.853659 +2.195122
8369782 +0.998047 -0.002441 +0.032227 -4.024390 +1.036585 +2.073171
8369784 +0.999023 -0.003906 +0.030273 -3.841464 +0.853659 +1.829268
8369786 +1.009766 -0.010742 +0.019043 -3.780488 +0.792683 +2.134146
8369788 +1.007324 -0.005859 +0.021973 -3.780488 +0.853659 +2.134146
8369790 +1.003418 -0.006348 +0.035645 -3.780488 +0.975610 +2.134146
8369792 +1.010254 -0.010254 +0.037598 -3.780488 +0.914634 +2.378049
8369794 +1.004883 -0.003906 +0.027344 -3.780488 +0.792683 +2.073171
8369796 +1.004883 -0.007324 +0.020020 -3.780488 +0.792683 +1.951220
8369798 +1.012207 -0.008789 +0.027344 -3.841464 +0.731707 +2.073171
8369800 +1.004883 -0.002441 +0.030273 -3.780488 +0.853659 +2.195122
8369802 +1.006348 -0.001465 +0.026855 -3.841464 +0.914634 +2.012195
8369804 +1.007812 -0.009766 +0.026855 -3.780488 +0.731707 +2.012195
8369806 +1.008301 -0.010742 +0.034180 -3.841464 +0.792683 +2.012195
8369808 +1.000000 -0.005859 +0.026855 -3.841464 +0.853659 +2.195122
8369810 +1.013184 -0.004883 +0.034668 -3.780488 +0.853659 +1.951220
8369812 +1.003418 -0.003906 +0.023926 -3.841464 +0.853659 +1.951220
8369814 +1.004395 -0.004883 +0.033203 -3.597561 +0.792683 +2.195122
8369817 +1.008301 -0.006348 +0.035645 -3.658537 +0.853659 +2.073171
8369819 +1.006348 -0.007812 +0.024414 -3.719512 +0.853659 +2.195122
8369821 +1.009277 -0.005371 +0.022461 -3.902439 +0.853659 +2.012195
8369823 +1.008301 -0.006836 +0.031250 -3.841464 +0.914634 +2.195122
8369825 +1.003418 -0.005371 +0.023438 -3.841464 +0.853659 +2.256098
8369827 +0.998535 -0.003906 +0.035645 -3.841464 +0.792683 +2.073171
8369829 +1.007324 -0.005859 +0.026855 -3.841464 +0.914634 +2.195122
8369831 +1.007324 -0.007812 +0.030762 -3.780488 +0.853659 +2.134146
8369833 +1.004883 -0.004883 +0.029785 -3.902439 +1.036585 +2.195122
8369835 +1.009277 -0.004395 +0.027832 -3.902439 +0.853659 +2.195122
8369837 +1.007812 -0.002930 +0.027344 -3.719512 +0.914634 +1.951220
8369839 +1.007812 -0.007812 +0.028809 -3.780488 +0.914634 +2.256098
